weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,is_zcleansed,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,content_restrict,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments
sniper_fastbolt,sniper_fastbolt_upgraded,,5000,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
sniper_fastsemi,sniper_fastsemi_upgraded,,5000,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
sniper_powerbolt,sniper_powerbolt_upgraded,,5000,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
special_crossbow_dw,special_crossbow_dw_upgraded,,5000,dual,,,,,TRUE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,,
launcher_dragon_strike,,,0,controller,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,TRUE,
launcher_dragon_fire,,,0,launcher,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,grenade,TRUE,TRUE,
dragon_gauntlet_flamethrower,,,10000,,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,TRUE,
dragon_gauntlet ,,,10000,,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,special,TRUE,TRUE,
melee_dagger,,,200,wpck_bowie,,0,,,FALSE,,,,,FALSE,FALSE,special,,,
melee_fireaxe,,,300,wpck_bowie,,0,,,FALSE,,,,,FALSE,FALSE,special,,,
melee_sword,,,500,wpck_bowie,,0,,,FALSE,,,,,FALSE,FALSE,special,,,
melee_wrench,,,100,wpck_bowie,,0,,,FALSE,,,,,FALSE,FALSE,special,,,
lmg_rpk,lmg_rpk_upgraded,,5000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,reflex quickdraw_lmg
