weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,is_zcleansed,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,content_restrict,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments
sniper_fastbolt,sniper_fastbolt_upgraded,,5000,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
sniper_fastsemi,sniper_fastsemi_upgraded,,5000,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
staff_air,,,10000,staff,,,,,FALSE,FALSE,TRUE,,,FALSE,FALSE,special,TRUE,TRUE,
staff_fire,,,10000,staff,,,,,FALSE,FALSE,TRUE,,,FALSE,FALSE,special,TRUE,TRUE,
staff_lightning,,,10000,staff,,,,,FALSE,FALSE,TRUE,,,FALSE,FALSE,special,TRUE,TRUE,
staff_water,,,10000,staff,,,,,FALSE,FALSE,TRUE,,,FALSE,FALSE,special,TRUE,TRUE,
staff_air_upgraded,,,10000,staff,,,,,FALSE,FALSE,TRUE,,,FALSE,FALSE,special,TRUE,TRUE,
staff_fire_upgraded,,,10000,staff,,,,,FALSE,FALSE,TRUE,,,FALSE,FALSE,special,TRUE,TRUE,
staff_lightning_upgraded,,,10000,staff,,,,,FALSE,FALSE,TRUE,,,FALSE,FALSE,special,TRUE,TRUE,
staff_water_upgraded,,,10000,staff,,,,,FALSE,FALSE,TRUE,,,FALSE,FALSE,special,TRUE,TRUE,
hero_annihilator,,,10000,staff,,,,,TRUE,FALSE,TRUE,,,FALSE,FALSE,special,TRUE,TRUE,
raygun_mark2,raygun_mark2_upgraded,,10000,raygun_mk2,,0,,,TRUE,FALSE,TRUE,1,,FALSE,FALSE,special,TRUE,TRUE,
lmg_rpk,lmg_rpk_upgraded,,5000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,reflex quickdraw_lmg
ar_m14,ar_m14_upgraded,,5000,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,grip quickdraw steadyaim
