a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,p16,p17
15,gysgt1,127200,14400,RANK_GYSGT,RANK_GYSGT_FULL,rank_gysgt,141600,,,,,,16,16,,RANK_GYSGT_FULL,token
16,gysgt2,141600,15200,RANK_GYSGT,RANK_GYSGT_FULL2,rank_gysgt,156800,,,,,,17,17,,RANK_GYSGT_FULL_N,token
17,gysgt3,156800,16000,RANK_GYSGT,RANK_GYSGT_FULL3,rank_gysgt,172800,,,,,,18,18,,RANK_GYSGT_FULL_N,token
18,msgt1,172800,16800,RANK_MSGT,RANK_MSGT_FULL,rank_msgt,189600,,,,,,19,19,,RANK_MSGT_FULL,token
19,msgt2,189600,17600,RANK_MSGT,RANK_MSGT_FULL2,rank_msgt,207200,,,,,,20,20,,RANK_MSGT_FULL_N,token
20,msgt3,207200,18400,RANK_MSGT,RANK_MSGT_FULL3,rank_msgt,225600,,,,,,21,21,,RANK_MSGT_FULL_N,token
21,mgysgt1,225600,19200,RANK_MGYSGT,RANK_MGYSGT_FULL,rank_mgysgt,244800,,,,,,22,22,,RANK_MGYSGT_FULL,token
22,mgysgt2,244800,20000,RANK_MGYSGT,RANK_MGYSGT_FULL2,rank_mgysgt,264800,,,,,,23,23,,RANK_MGYSGT_FULL_N,token
23,mgysgt3,264800,20800,RANK_MGYSGT,RANK_MGYSGT_FULL3,rank_mgysgt,285600,,,,,,24,24,,RANK_MGYSGT_FULL_N,token
24,2ndlt1,285600,21600,RANK_2NDLT,RANK_2NDLT_FULL,rank_2ndlt,307200,,,,,,25,25,,RANK_2NDLT_FULL,token
25,2ndlt2,307200,22400,RANK_2NDLT,RANK_2NDLT_FULL2,rank_2ndlt,329600,,,,,,26,26,,RANK_2NDLT_FULL_N,token
26,2ndlt3,329600,23200,RANK_2NDLT,RANK_2NDLT_FULL3,rank_2ndlt,352800,,,,,,27,27,,RANK_2NDLT_FULL_N,token
27,lt1,352800,24000,RANK_LT,RANK_LT_FULL,rank_lt,376800,,,,,,28,28,,RANK_LT_FULL,token
28,lt2,376800,24800,RANK_LT,RANK_LT_FULL2,rank_lt,401600,,,,,,29,29,,RANK_LT_FULL_N,token
29,lt3,401600,25600,RANK_LT,RANK_LT_FULL3,rank_lt,427200,,,,,,30,30,,RANK_TLT_FULL_N,token
30,cpt1,427200,26800,RANK_CPT,RANK_CPT_FULL,rank_cpt,454000,,,,,,31,31,,RANK_CPT_FULL,token
31,cpt2,454000,28000,RANK_CPT,RANK_CPT_FULL2,rank_cpt,482000,,,,,,32,32,,RANK_CPT_FULL_N,token
32,cpt3,482000,29200,RANK_CPT,RANK_CPT_FULL3,rank_cpt,511200,,,,,,33,33,,RANK_CPT_FULL_N,token
33,maj1,511200,30400,RANK_MAJ,RANK_MAJ_FULL,rank_maj,541600,,,,,,34,34,,RANK_MAJ_FULL,token
34,maj2,541600,31600,RANK_MAJ,RANK_MAJ_FULL2,rank_maj,573200,,,,,,35,35,,RANK_MAJ_FULL_N,token
35,maj3,573200,32800,RANK_MAJ,RANK_MAJ_FULL3,rank_maj,606000,,,,,,36,36,,RANK_MAJ_FULL_N,token
36,ltcol1,606000,34000,RANK_LTCOL,RANK_LTCOL_FULL,rank_ltcol,640000,,,,,,37,37,,RANK_LTCOL_FULL,token
37,ltcol2,640000,35200,RANK_LTCOL,RANK_LTCOL_FULL2,rank_ltcol,675200,,,,,,38,38,,RANK_LTCOL_FULL_N,token
38,ltcol3,675200,36400,RANK_LTCOL,RANK_LTCOL_FULL3,rank_ltcol,711600,,,,,,39,39,,RANK_LTCOL_FULL_N,token
39,col1,711600,37600,RANK_COL,RANK_COL_FULL,rank_col,749200,,,,,,40,40,,RANK_COL_FULL,token
40,col2,749200,38800,RANK_COL,RANK_COL_FULL2,rank_col,788000,,,,,,41,41,,RANK_COL_FULL_N,token
41,col3,788000,40000,RANK_COL,RANK_COL_FULL3,rank_col,828000,,,,,,42,42,,RANK_COL_FULL_N,token
42,bgen1,828000,41200,RANK_BGEN,RANK_BGEN_FULL,rank_bgen,869200,,,,,,43,43,,RANK_BGEN_FULL,token
43,bgen2,869200,42400,RANK_BGEN,RANK_BGEN_FULL2,rank_bgen,911600,,,,,,44,44,,RANK_BGEN_FULL_N,token
44,bgen3,911600,43600,RANK_BGEN,RANK_BGEN_FULL3,rank_bgen,955200,,,,,,45,45,,RANK_BGEN_FULL_N,token
45,majgen1,955200,44800,RANK_MAJGEN,RANK_MAJGEN_FULL,rank_majgen,1000000,,,,,,46,46,,RANK_MAJGEN_FULL,token
46,majgen2,1000000,46000,RANK_MAJGEN,RANK_MAJGEN_FULL2,rank_majgen,1046000,,,,,,47,47,,RANK_MAJGEN_FULL_N,token
47,majgen3,1046000,47200,RANK_MAJGEN,RANK_MAJGEN_FULL3,rank_majgen,1093200,,,,,,48,48,,RANK_MAJGEN_FULL_N,token
48,ltgen1,1093200,48400,RANK_LTGEN,RANK_LTGEN_FULL,rank_ltgen,1141600,,,,,,49,49,,RANK_LTGEN_FULL,token
49,ltgen2,1141600,49600,RANK_LTGEN,RANK_LTGEN_FULL2,rank_ltgen,1191200,,,,,,50,50,,RANK_LTGEN_FULL_N,token
50,ltgen3,1191200,50800,RANK_LTGEN,RANK_LTGEN_FULL3,rank_ltgen,1242000,,,,,,51,51,,RANK_LTGEN_FULL_N,token
51,gen1,1242000,52000,RANK_GEN,RANK_GEN_FULL,rank_gen,1294000,,,,,,52,52,,RANK_GEN_FULL,token
52,gen2,1294000,53200,RANK_GEN,RANK_GEN_FULL2,rank_gen,1347200,,,,,,53,53,,RANK_GEN_FULL_N,token
53,gen3,1347200,54400,RANK_GEN,RANK_GEN_FULL3,rank_gen,1401600,,,,,,54,54,,RANK_GEN_FULL_N,token
54,com1,1401600,55600,RANK_COM,RANK_COM_FULL,rank_com,1457200,,,,,,55,55,,RANK_COMM_FULL,token
