a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24
549,1,250,global,zombie_hunter_kill_headshot,ZM_CHALLENGES_ZOMBIE_HUNTER_KILL_HEADSHOT,1000,,,,,,,,,,zombiehunter,,,,,,,,
550,2,500,global,zombie_hunter_kill_headshot,ZM_CHALLENGES_ZOMBIE_HUNTER_KILL_HEADSHOT,2500,,,,zombie_hunter_mastery,,EM_BACK_ZOMBIE_HUNTER_kill_headshot,,,,zombiehunter,,,,,,,,
551,0,25,global,zombie_hunter_kill_melee,ZM_CHALLENGES_ZOMBIE_HUNTER_KILL_MELEE,500,,,,,,,,,,zombiehunter,,,,,,,,
552,1,50,global,zombie_hunter_kill_melee,ZM_CHALLENGES_ZOMBIE_HUNTER_KILL_MELEE,1000,,,,,,,,,,zombiehunter,,,,,,,,
553,2,100,global,zombie_hunter_kill_melee,ZM_CHALLENGES_ZOMBIE_HUNTER_KILL_MELEE,2500,,,,zombie_hunter_mastery,,EM_BACK_ZOMBIE_HUNTER_kill_melee,,,,zombiehunter,,,,,,,,
554,0,25,global,zombie_hunter_kill_crawler,ZM_CHALLENGES_ZOMBIE_HUNTER_KILL_CRAWLER,500,,,,,,,,,,zombiehunter,,,,,,,,
555,1,50,global,zombie_hunter_kill_crawler,ZM_CHALLENGES_ZOMBIE_HUNTER_KILL_CRAWLER,1000,,,,,,,,,,zombiehunter,,,,,,,,
556,2,100,global,zombie_hunter_kill_crawler,ZM_CHALLENGES_ZOMBIE_HUNTER_KILL_CRAWLER,2500,,,,zombie_hunter_mastery,,EM_BACK_ZOMBIE_HUNTER_kill_crawler,,,,zombiehunter,,,,,,,,
557,0,100,global,zombie_hunter_kill_packapunch,ZM_CHALLENGES_ZOMBIE_HUNTER_KILL_PACKAPUNCH,500,,,,,,,,,,zombiehunter,,,,,,,,
558,1,250,global,zombie_hunter_kill_packapunch,ZM_CHALLENGES_ZOMBIE_HUNTER_KILL_PACKAPUNCH,1000,,,,,,,,,,zombiehunter,,,,,,,,
559,2,500,global,zombie_hunter_kill_packapunch,ZM_CHALLENGES_ZOMBIE_HUNTER_KILL_PACKAPUNCH,2500,,,,zombie_hunter_mastery,,EM_BACK_ZOMBIE_HUNTER_kill_packapunch,,,,zombiehunter,,,,,,,,
560,0,50,global,zombie_hunter_kill_trap,ZM_CHALLENGES_ZOMBIE_HUNTER_KILL_TRAP,500,,,,,,,,,,zombiehunter,,,,,,,,
561,1,100,global,zombie_hunter_kill_trap,ZM_CHALLENGES_ZOMBIE_HUNTER_KILL_TRAP,1000,,,,,,,,,,zombiehunter,,,,,,,,
562,2,150,global,zombie_hunter_kill_trap,ZM_CHALLENGES_ZOMBIE_HUNTER_KILL_TRAP,2500,,,,zombie_hunter_mastery,,EM_BACK_ZOMBIE_HUNTER_kill_trap,,,,zombiehunter,,,,,,,,
563,0,50,global,zombie_hunter_kill_explosives,ZM_CHALLENGES_ZOMBIE_HUNTER_KILL_EXPLOSIVES,500,,,,,,,,,,zombiehunter,,,,,,,,
564,1,100,global,zombie_hunter_kill_explosives,ZM_CHALLENGES_ZOMBIE_HUNTER_KILL_EXPLOSIVES,1000,,,,,,,,,,zombiehunter,,,,,,,,
565,2,200,global,zombie_hunter_kill_explosives,ZM_CHALLENGES_ZOMBIE_HUNTER_KILL_EXPLOSIVES,2500,,,,zombie_hunter_mastery,,EM_BACK_ZOMBIE_HUNTER_kill_explosives,,,,zombiehunter,,,,,,,,
566,0,1,global,zombie_hunter_explosion_multikill,ZM_CHALLENGES_ZOMBIE_HUNTER_EXPLOSION_MULTIKILL,2000,,,,zombie_hunter_mastery,,EM_BACK_ZOMBIE_HUNTER_explosion_multikill,,,,zombiehunter,,,,,,,,
567,0,100,global,zombie_hunter_blast_furnace,ZM_CHALLENGES_ZOMBIE_HUNTER_BLAST_FURNACE,500,,,,,,,,,,zombiehunter,,,,,,,,
568,1,250,global,zombie_hunter_blast_furnace,ZM_CHALLENGES_ZOMBIE_HUNTER_BLAST_FURNACE,1000,,,,,,,,,,zombiehunter,,,,,,,,
569,2,500,global,zombie_hunter_blast_furnace,ZM_CHALLENGES_ZOMBIE_HUNTER_BLAST_FURNACE,2500,,,,zombie_hunter_mastery,,EM_BACK_ZOMBIE_HUNTER_blast_furnace,,,,zombiehunter,,,,,,,,
570,0,100,global,zombie_hunter_dead_wire,ZM_CHALLENGES_ZOMBIE_HUNTER_DEAD_WIRE,500,,,,,,,,,,zombiehunter,,,,,,,,
571,1,250,global,zombie_hunter_dead_wire,ZM_CHALLENGES_ZOMBIE_HUNTER_DEAD_WIRE,1000,,,,,,,,,,zombiehunter,,,,,,,,
572,2,500,global,zombie_hunter_dead_wire,ZM_CHALLENGES_ZOMBIE_HUNTER_DEAD_WIRE,2500,,,,zombie_hunter_mastery,,EM_BACK_ZOMBIE_HUNTER_dead_wire,,,,zombiehunter,,,,,,,,
573,0,100,global,zombie_hunter_fire_works,ZM_CHALLENGES_ZOMBIE_HUNTER_FIRE_WORKS,500,,,,,,,,,,zombiehunter,,,,,,,,
574,1,250,global,zombie_hunter_fire_works,ZM_CHALLENGES_ZOMBIE_HUNTER_FIRE_WORKS,1000,,,,,,,,,,zombiehunter,,,,,,,,
575,2,500,global,zombie_hunter_fire_works,ZM_CHALLENGES_ZOMBIE_HUNTER_FIRE_WORKS,2500,,,,zombie_hunter_mastery,,EM_BACK_ZOMBIE_HUNTER_fire_works,,,,zombiehunter,,,,,,,,
576,0,100,global,zombie_hunter_thunder_wall,ZM_CHALLENGES_ZOMBIE_HUNTER_THUNDER_WALL,500,,,,,,,,,,zombiehunter,,,,,,,,
577,1,250,global,zombie_hunter_thunder_wall,ZM_CHALLENGES_ZOMBIE_HUNTER_THUNDER_WALL,1000,,,,,,,,,,zombiehunter,,,,,,,,
578,2,500,global,zombie_hunter_thunder_wall,ZM_CHALLENGES_ZOMBIE_HUNTER_THUNDER_WALL,2500,,,,zombie_hunter_mastery,,EM_BACK_ZOMBIE_HUNTER_thunder_wall,,,,zombiehunter,,,,,,,,
579,0,20,global,zombie_hunter_turned,ZM_CHALLENGES_ZOMBIE_HUNTER_TURNED,500,,,,,,,,,,zombiehunter,,,,,,,,
580,1,40,global,zombie_hunter_turned,ZM_CHALLENGES_ZOMBIE_HUNTER_TURNED,1000,,,,,,,,,,zombiehunter,,,,,,,,
581,2,80,global,zombie_hunter_turned,ZM_CHALLENGES_ZOMBIE_HUNTER_TURNED,2500,,,,zombie_hunter_mastery,,EM_BACK_ZOMBIE_HUNTER_turned,,,,zombiehunter,,,,,,,,
582,0,12,global,zombie_hunter_mastery,ZM_CHALLENGES_ZOMBIE_HUNTER_MASTERY,5000,,,,zombie_hunter_mastery,,EM_BACK_ZOMBIE_HUNTER_mastery,,,,zombiehunter,,1,,,,,,
583,0,50,global,survivalist_buy_magic_box,ZM_CHALLENGES_SURVIVALIST_BUY_MAGIC_BOX,500,,,,,,,,,,survivalist,,,,,,,,
584,1,100,global,survivalist_buy_magic_box,ZM_CHALLENGES_SURVIVALIST_BUY_MAGIC_BOX,1000,,,,,,,,,,survivalist,,,,,,,,
585,2,150,global,survivalist_buy_magic_box,ZM_CHALLENGES_SURVIVALIST_BUY_MAGIC_BOX,2500,,,,survivalist_mastery,,EM_BACK_SURVIVALIST_buy_magic_box,,,,survivalist,,,,,,,,
586,0,50,global,survivalist_buy_perk,ZM_CHALLENGES_SURVIVALIST_BUY_PERK,500,,,,,,,,,,survivalist,,,,,,,,
587,1,100,global,survivalist_buy_perk,ZM_CHALLENGES_SURVIVALIST_BUY_PERK,1000,,,,,,,,,,survivalist,,,,,,,,
588,2,150,global,survivalist_buy_perk,ZM_CHALLENGES_SURVIVALIST_BUY_PERK,2500,,,,survivalist_mastery,,EM_BACK_SURVIVALIST_buy_perk,,,,survivalist,,,,,,,,
589,0,50,global,survivalist_buy_wallbuy,ZM_CHALLENGES_SURVIVALIST_BUY_WALLBUY,500,,,,,,,,,,survivalist,,,,,,,,
590,1,100,global,survivalist_buy_wallbuy,ZM_CHALLENGES_SURVIVALIST_BUY_WALLBUY,1000,,,,,,,,,,survivalist,,,,,,,,
591,2,200,global,survivalist_buy_wallbuy,ZM_CHALLENGES_SURVIVALIST_BUY_WALLBUY,2500,,,,survivalist_mastery,,EM_BACK_SURVIVALIST_buy_wallbuy,,,,survivalist,,,,,,,,
592,0,50,global,survivalist_buy_door,ZM_CHALLENGES_SURVIVALIST_BUY_DOOR,500,,,,,,,,,,survivalist,,,,,,,,
593,1,100,global,survivalist_buy_door,ZM_CHALLENGES_SURVIVALIST_BUY_DOOR,1000,,,,,,,,,,survivalist,,,,,,,,
594,2,150,global,survivalist_buy_door,ZM_CHALLENGES_SURVIVALIST_BUY_DOOR,2000,,,,survivalist_mastery,,EM_BACK_SURVIVALIST_buy_door,,,,survivalist,,,,,,,,
595,0,10,global,survivalist_revive,ZM_CHALLENGES_SURVIVALIST_REVIVE,500,,,,,,,,,,survivalist,,,,,,,,
596,1,20,global,survivalist_revive,ZM_CHALLENGES_SURVIVALIST_REVIVE,1000,,,,,,,,,,survivalist,,,,,,,,
597,2,50,global,survivalist_revive,ZM_CHALLENGES_SURVIVALIST_REVIVE,2000,,,,survivalist_mastery,,EM_BACK_SURVIVALIST_revive,,,,survivalist,,,,,,,,
598,0,25,global,survivalist_survive_rounds,ZM_CHALLENGES_SURVIVALIST_SURVIVE_ROUNDS,500,,,,,,,,,,survivalist,,,,,,,,
599,1,50,global,survivalist_survive_rounds,ZM_CHALLENGES_SURVIVALIST_SURVIVE_ROUNDS,1000,,,,,,,,,,survivalist,,,,,,,,
600,2,100,global,survivalist_survive_rounds,ZM_CHALLENGES_SURVIVALIST_SURVIVE_ROUNDS,2000,,,,survivalist_mastery,,EM_BACK_SURVIVALIST_survive_rounds,,,,survivalist,,,,,,,,
601,0,5,global,survivalist_craftable,ZM_CHALLENGES_SURVIVALIST_CRAFTABLE,500,,,,,,,,,,survivalist,,,,,,,,
602,1,10,global,survivalist_craftable,ZM_CHALLENGES_SURVIVALIST_CRAFTABLE,1000,,,,,,,,,,survivalist,,,,,,,,
603,2,20,global,survivalist_craftable,ZM_CHALLENGES_SURVIVALIST_CRAFTABLE,2000,,,,survivalist_mastery,,EM_BACK_SURVIVALIST_craftable,,,,survivalist,,,,,,,,
604,0,50,global,survivalist_board,ZM_CHALLENGES_SURVIVALIST_BOARD,500,,,,,,,,,,survivalist,,,,,,,,
605,1,100,global,survivalist_board,ZM_CHALLENGES_SURVIVALIST_BOARD,1000,,,,,,,,,,survivalist,,,,,,,,
606,2,150,global,survivalist_board,ZM_CHALLENGES_SURVIVALIST_BOARD,2000,,,,survivalist_mastery,,EM_BACK_SURVIVALIST_board,,,,survivalist,,,,,,,,
607,0,50,global,survivalist_powerup,ZM_CHALLENGES_SURVIVALIST_POWERUP,500,,,,,,,,,,survivalist,,,,,,,,
608,1,100,global,survivalist_powerup,ZM_CHALLENGES_SURVIVALIST_POWERUP,1000,,,,,,,,,,survivalist,,,,,,,,
609,2,200,global,survivalist_powerup,ZM_CHALLENGES_SURVIVALIST_POWERUP,2000,,,,survivalist_mastery,,EM_BACK_SURVIVALIST_powerup,,,,survivalist,,,,,,,,
610,0,9,global,survivalist_mastery,ZM_CHALLENGES_SURVIVALIST_MASTERY,5000,,,,survivalist_mastery,,EM_BACK_SURVIVALIST_mastery,,,,survivalist,,1,,,,,,
611,0,50,global,gum_gobbler_consume,ZM_CHALLENGES_GUM_GOBBLER_CONSUME,500,,,,,,,,,,gumgobbler,,,,,,,,
612,1,100,global,gum_gobbler_consume,ZM_CHALLENGES_GUM_GOBBLER_CONSUME,1000,,,,,,,,,,gumgobbler,,,,,,,,
613,2,200,global,gum_gobbler_consume,ZM_CHALLENGES_GUM_GOBBLER_CONSUME,2000,,,,gum_gobbler_mastery,,EM_BACK_GUM_GOBBLER_consume,,,,gumgobbler,,,,,,,,
614,0,20,global,gum_gobbler_powerups,ZM_CHALLENGES_GUM_GOBBLER_POWERUPS,500,,,,,,,,,,gumgobbler,,,,,,,,
615,1,40,global,gum_gobbler_powerups,ZM_CHALLENGES_GUM_GOBBLER_POWERUPS,1000,,,,,,,,,,gumgobbler,,,,,,,,
616,2,80,global,gum_gobbler_powerups,ZM_CHALLENGES_GUM_GOBBLER_POWERUPS,2500,,,,gum_gobbler_mastery,,EM_BACK_GUM_GOBBLER_powerups,,,,gumgobbler,,,,,,,,
617,0,500,global,gum_gobbler_alchemical_antithesis,ZM_CHALLENGES_GUM_GOBBLER_ALCHEMICAL_ANTITHESIS,500,,,,,,,,,,gumgobbler,,,,,,,,
618,1,1000,global,gum_gobbler_alchemical_antithesis,ZM_CHALLENGES_GUM_GOBBLER_ALCHEMICAL_ANTITHESIS,1000,,,,,,,,,,gumgobbler,,,,,,,,
619,2,3000,global,gum_gobbler_alchemical_antithesis,ZM_CHALLENGES_GUM_GOBBLER_ALCHEMICAL_ANTITHESIS,2500,,,,gum_gobbler_mastery,,EM_BACK_GUM_GOBBLER_alchemical_antithesis,,,,gumgobbler,,,,,,,,
620,0,10,global,gum_gobbler_anywhere_but_here,ZM_CHALLENGES_GUM_GOBBLER_ANYWHERE_BUT_HERE,500,,,,,,,,,,gumgobbler,,,,,,,,
621,1,20,global,gum_gobbler_anywhere_but_here,ZM_CHALLENGES_GUM_GOBBLER_ANYWHERE_BUT_HERE,1000,,,,,,,,,,gumgobbler,,,,,,,,
622,2,40,global,gum_gobbler_anywhere_but_here,ZM_CHALLENGES_GUM_GOBBLER_ANYWHERE_BUT_HERE,2500,,,,gum_gobbler_mastery,,EM_BACK_GUM_GOBBLER_anywhere_but_here,,,,gumgobbler,,,,,,,,
623,0,50,global,gum_gobbler_burned_out,ZM_CHALLENGES_GUM_GOBBLER_BURNED_OUT,500,,,,,,,,,,gumgobbler,,,,,,,,
624,1,250,global,gum_gobbler_burned_out,ZM_CHALLENGES_GUM_GOBBLER_BURNED_OUT,1000,,,,,,,,,,gumgobbler,,,,,,,,
625,2,500,global,gum_gobbler_burned_out,ZM_CHALLENGES_GUM_GOBBLER_BURNED_OUT,2500,,,,gum_gobbler_mastery,,EM_BACK_GUM_GOBBLER_burned_out,,,,gumgobbler,,,,,,,,
626,0,10,global,gum_gobbler_ephemeral_enhancement,ZM_CHALLENGES_GUM_GOBBLER_EPHEMERAL_ENHANCEMENT,500,,,,,,,,,,gumgobbler,,,,,,,,
627,1,20,global,gum_gobbler_ephemeral_enhancement,ZM_CHALLENGES_GUM_GOBBLER_EPHEMERAL_ENHANCEMENT,1000,,,,,,,,,,gumgobbler,,,,,,,,
628,2,30,global,gum_gobbler_ephemeral_enhancement,ZM_CHALLENGES_GUM_GOBBLER_EPHEMERAL_ENHANCEMENT,2500,,,,gum_gobbler_mastery,,EM_BACK_GUM_GOBBLER_ephemeral_enhancement,,,,gumgobbler,,,,,,,,
629,0,5,global,gum_gobbler_phoenix_up,ZM_CHALLENGES_GUM_GOBBLER_PHOENIX_UP,500,,,,,,,,,,gumgobbler,,,,,,,,
630,1,10,global,gum_gobbler_phoenix_up,ZM_CHALLENGES_GUM_GOBBLER_PHOENIX_UP,1000,,,,,,,,,,gumgobbler,,,,,,,,
631,2,20,global,gum_gobbler_phoenix_up,ZM_CHALLENGES_GUM_GOBBLER_PHOENIX_UP,2500,,,,gum_gobbler_mastery,,EM_BACK_GUM_GOBBLER_phoenix_up,,,,gumgobbler,,,,,,,,
632,0,50,global,gum_gobbler_sword_flay,ZM_CHALLENGES_GUM_GOBBLER_SWORD_FLAY,500,,,,,,,,,,gumgobbler,,,,,,,,
633,1,250,global,gum_gobbler_sword_flay,ZM_CHALLENGES_GUM_GOBBLER_SWORD_FLAY,1000,,,,,,,,,,gumgobbler,,,,,,,,
634,2,500,global,gum_gobbler_sword_flay,ZM_CHALLENGES_GUM_GOBBLER_SWORD_FLAY,2500,,,,gum_gobbler_mastery,,EM_BACK_GUM_GOBBLER_sword_flay,,,,gumgobbler,,,,,,,,
635,0,5,global,gum_gobbler_wall_power,ZM_CHALLENGES_GUM_GOBBLER_WALL_POWER,500,,,,,,,,,,gumgobbler,,,,,,,,
636,1,10,global,gum_gobbler_wall_power,ZM_CHALLENGES_GUM_GOBBLER_WALL_POWER,1000,,,,,,,,,,gumgobbler,,,,,,,,
637,2,15,global,gum_gobbler_wall_power,ZM_CHALLENGES_GUM_GOBBLER_WALL_POWER,2500,,,,gum_gobbler_mastery,,EM_BACK_GUM_GOBBLER_wall_power,,,,gumgobbler,,,,,,,,
638,0,9,global,gum_gobbler_mastery,ZM_CHALLENGES_GUM_GOBBLER_MASTERY,5000,,,,gum_gobbler_mastery,,EM_BACK_GUM_GOBBLER_mastery,,,,gumgobbler,,1,,,,,,
639,0,1,global,darkops_zod_ee,ZM_CHALLENGES_DARKOPS_ZOD_EE,5000,,,,,,EM_BACK_DARKOPS_zod_ee,,,,darkops,,,,,,,,
640,0,1,global,lifetime_plevel,ZM_CHALLENGES_DARKOPS_MAX_RANK,10000,,,,,,EM_BACK_DARKOPS_max_rank,,,,darkops,,,,,,,,
641,0,1,global,darkops_genesis_ee,ZM_CHALLENGES_DARKOPS_GENESIS_EE,0,,,,,,EM_BACK_ZM_Samantha,,,,darkops,,,,,,,,
642,0,1,global,darkops_genesis_super_ee,ZM_CHALLENGES_DARKOPS_GENESIS_SUPER_EE,0,,,,,,EM_BACK_ZM_Heroes,,,,darkops,,,,,,,,
