a0,b1,c2,d3,e4,f5
7,17400,smg_sten2,steadyaim,800,
8,21100,smg_sten2,holo,900,
9,24900,smg_sten2,fmj,1000,
10,28800,smg_sten2,fastreload,1100,
11,32800,smg_sten2,reddot,1200,
12,36900,smg_sten2,extbarrel,1300,
13,41100,smg_sten2,extclip,1400,
14,45400,smg_sten2,rf,1500,
0,300,ar_accurate,reflex,100,
1,1200,ar_accurate,quickdraw,200,
2,2700,ar_accurate,grip,300,
3,4800,ar_accurate,acog,400,
4,7500,ar_accurate,suppressed,500,
5,10500,ar_accurate,damage,600,
6,13800,ar_accurate,dualoptic,700,
7,17400,ar_accurate,stalker,800,
8,21100,ar_accurate,holo,900,
9,24900,ar_accurate,steadyaim,1000,
10,28800,ar_accurate,fmj,1100,
11,32800,ar_accurate,ir,1200,
12,36900,ar_accurate,fastreload,1300,
13,41100,ar_accurate,extclip,1400,
14,45400,ar_accurate,reddot,1500,
15,49800,ar_accurate,extbarrel,1600,
16,54300,ar_accurate,rf,1700,
0,300,ar_cqb,reflex,100,
1,1200,ar_cqb,quickdraw,200,
2,2700,ar_cqb,grip,300,
3,4800,ar_cqb,acog,400,
4,7500,ar_cqb,suppressed,500,
5,10500,ar_cqb,damage,600,
6,13800,ar_cqb,dualoptic,700,
7,17400,ar_cqb,stalker,800,
8,21100,ar_cqb,holo,900,
9,24900,ar_cqb,steadyaim,1000,
10,28800,ar_cqb,fmj,1100,
11,32800,ar_cqb,ir,1200,
12,36900,ar_cqb,fastreload,1300,
13,41100,ar_cqb,extclip,1400,
14,45400,ar_cqb,reddot,1500,
15,49800,ar_cqb,extbarrel,1600,
16,54300,ar_cqb,rf,1700,
0,300,ar_damage,reflex,100,
1,1200,ar_damage,quickdraw,200,
2,2700,ar_damage,grip,300,
3,4800,ar_damage,acog,400,
4,7500,ar_damage,suppressed,500,
5,10500,ar_damage,damage,600,
6,13800,ar_damage,dualoptic,700,
7,17400,ar_damage,stalker,800,
8,21100,ar_damage,holo,900,
9,24900,ar_damage,steadyaim,1000,
10,28800,ar_damage,fmj,1100,
11,32800,ar_damage,ir,1200,
12,36900,ar_damage,fastreload,1300,
13,41100,ar_damage,extclip,1400,
14,45400,ar_damage,reddot,1500,
15,49800,ar_damage,extbarrel,1600,
16,54300,ar_damage,rf,1700,
0,300,ar_fastburst,reflex,100,
1,1200,ar_fastburst,quickdraw,200,
2,2700,ar_fastburst,grip,300,
3,4800,ar_fastburst,acog,400,
4,7500,ar_fastburst,suppressed,500,
5,10500,ar_fastburst,damage,600,
6,13800,ar_fastburst,dualoptic,700,
7,17400,ar_fastburst,stalker,800,
8,21100,ar_fastburst,holo,900,
9,24900,ar_fastburst,steadyaim,1000,
10,28800,ar_fastburst,fmj,1100,
11,32800,ar_fastburst,ir,1200,
12,36900,ar_fastburst,fastreload,1300,
13,41100,ar_fastburst,extclip,1400,
14,45400,ar_fastburst,reddot,1500,
15,49800,ar_fastburst,extbarrel,1600,
16,54300,ar_fastburst,rf,1700,
0,300,ar_longburst,reflex,100,
1,1200,ar_longburst,quickdraw,200,
2,2700,ar_longburst,grip,300,
3,4800,ar_longburst,acog,400,
4,7500,ar_longburst,suppressed,500,
5,10500,ar_longburst,damage,600,
6,13800,ar_longburst,dualoptic,700,
7,17400,ar_longburst,stalker,800,
8,21100,ar_longburst,holo,900,
9,24900,ar_longburst,steadyaim,1000,
10,28800,ar_longburst,fmj,1100,
11,32800,ar_longburst,ir,1200,
12,36900,ar_longburst,fastreload,1300,
13,41100,ar_longburst,extclip,1400,
14,45400,ar_longburst,reddot,1500,
15,49800,ar_longburst,extbarrel,1600,
16,54300,ar_longburst,rf,1700,
0,300,ar_marksman,reflex,100,
1,1200,ar_marksman,quickdraw,200,
2,2700,ar_marksman,grip,300,
3,4800,ar_marksman,acog,400,
4,7500,ar_marksman,suppressed,500,
5,10500,ar_marksman,damage,600,
6,13800,ar_marksman,dualoptic,700,
7,17400,ar_marksman,stalker,800,
8,21100,ar_marksman,holo,900,
9,24900,ar_marksman,steadyaim,1000,
10,28800,ar_marksman,fmj,1100,
11,32800,ar_marksman,ir,1200,
12,36900,ar_marksman,fastreload,1300,
13,41100,ar_marksman,extclip,1400,
14,45400,ar_marksman,reddot,1500,
15,49800,ar_marksman,extbarrel,1600,
16,54300,ar_marksman,rf,1700,
0,300,ar_standard,reflex,100,
1,1200,ar_standard,quickdraw,200,
2,2700,ar_standard,grip,300,
3,4800,ar_standard,acog,400,
4,7500,ar_standard,suppressed,500,
5,10500,ar_standard,damage,600,
6,13800,ar_standard,dualoptic,700,
7,17400,ar_standard,stalker,800,
8,21100,ar_standard,holo,900,
9,24900,ar_standard,steadyaim,1000,
10,28800,ar_standard,fmj,1100,
11,32800,ar_standard,ir,1200,
12,36900,ar_standard,fastreload,1300,
13,41100,ar_standard,extclip,1400,
14,45400,ar_standard,reddot,1500,
15,49800,ar_standard,extbarrel,1600,
16,54300,ar_standard,rf,1700,
0,300,ar_garand,reflex,100,
1,1200,ar_garand,quickdraw,200,
2,2700,ar_garand,grip,300,
3,4800,ar_garand,acog,400,
4,7500,ar_garand,suppressed,500,
5,10500,ar_garand,damage,600,
6,13800,ar_garand,dualoptic,700,
7,17400,ar_garand,stalker,800,
8,21100,ar_garand,holo,900,
9,24900,ar_garand,steadyaim,1000,
10,28800,ar_garand,fmj,1100,
11,32800,ar_garand,ir,1200,
12,36900,ar_garand,fastreload,1300,
13,41100,ar_garand,extclip,1400,
14,45400,ar_garand,reddot,1500,
15,49800,ar_garand,extbarrel,1600,
16,54300,ar_garand,rf,1700,
0,300,ar_famas,reflex,100,
1,1200,ar_famas,quickdraw,200,
2,2700,ar_famas,grip,300,
3,4800,ar_famas,acog,400,
4,7500,ar_famas,suppressed,500,
5,10500,ar_famas,damage,600,
6,13800,ar_famas,dualoptic,700,
7,17400,ar_famas,stalker,800,
8,21100,ar_famas,holo,900,
9,24900,ar_famas,steadyaim,1000,
10,28800,ar_famas,fmj,1100,
11,32800,ar_famas,ir,1200,
12,36900,ar_famas,fastreload,1300,
13,41100,ar_famas,extclip,1400,
14,45400,ar_famas,reddot,1500,
15,49800,ar_famas,extbarrel,1600,
16,54300,ar_famas,rf,1700,
0,300,ar_peacekeeper,reflex,100,
1,1200,ar_peacekeeper,quickdraw,200,
2,2700,ar_peacekeeper,grip,300,
3,4800,ar_peacekeeper,acog,400,
4,7500,ar_peacekeeper,suppressed,500,
5,10500,ar_peacekeeper,damage,600,
6,13800,ar_peacekeeper,dualoptic,700,
7,17400,ar_peacekeeper,stalker,800,
8,21100,ar_peacekeeper,holo,900,
9,24900,ar_peacekeeper,steadyaim,1000,
10,28800,ar_peacekeeper,fmj,1100,
11,32800,ar_peacekeeper,ir,1200,
12,36900,ar_peacekeeper,fastreload,1300,
13,41100,ar_peacekeeper,extclip,1400,
14,45400,ar_peacekeeper,reddot,1500,
15,49800,ar_peacekeeper,extbarrel,1600,
16,54300,ar_peacekeeper,rf,1700,
0,300,ar_pulse,reflex,100,
1,1200,ar_pulse,quickdraw,200,
2,2700,ar_pulse,grip,300,
3,4800,ar_pulse,acog,400,
4,7500,ar_pulse,suppressed,500,
5,10500,ar_pulse,damage,600,
6,17400,ar_pulse,stalker,800,
7,21100,ar_pulse,holo,900,
8,24900,ar_pulse,steadyaim,1000,
9,28800,ar_pulse,fmj,1100,
10,32800,ar_pulse,ir,1200,
11,36900,ar_pulse,fastreload,1300,
12,41100,ar_pulse,extclip,1400,
13,45400,ar_pulse,reddot,1500,
14,49800,ar_pulse,extbarrel,1600,
15,54300,ar_pulse,rf,1700,
0,300,ar_m16,reflex,100,
1,1200,ar_m16,quickdraw,200,
2,2700,ar_m16,grip,300,
3,4800,ar_m16,acog,400,
4,7500,ar_m16,suppressed,500,
5,10500,ar_m16,damage,600,
6,13800,ar_m16,dualoptic,700,
7,17400,ar_m16,stalker,800,
8,21100,ar_m16,holo,900,
9,24900,ar_m16,steadyaim,1000,
10,28800,ar_m16,fmj,1100,
11,32800,ar_m16,ir,1200,
12,36900,ar_m16,fastreload,1300,
13,41100,ar_m16,extclip,1400,
14,45400,ar_m16,reddot,1500,
15,49800,ar_m16,extbarrel,1600,
16,54300,ar_m16,rf,1700,
0,300,ar_galil,reflex,100,
1,1200,ar_galil,quickdraw,200,
2,2700,ar_galil,grip,300,
3,4800,ar_galil,acog,400,
4,7500,ar_galil,suppressed,500,
5,10500,ar_galil,damage,600,
6,13800,ar_galil,dualoptic,700,
7,17400,ar_galil,stalker,800,
8,21100,ar_galil,holo,900,
9,24900,ar_galil,steadyaim,1000,
10,28800,ar_galil,fmj,1100,
11,32800,ar_galil,ir,1200,
12,36900,ar_galil,fastreload,1300,
13,41100,ar_galil,extclip,1400,
14,45400,ar_galil,reddot,1500,
15,49800,ar_galil,extbarrel,1600,
16,54300,ar_galil,rf,1700,
0,300,ar_an94,reflex,100,
1,1200,ar_an94,quickdraw,200,
2,2700,ar_an94,grip,300,
3,4800,ar_an94,acog,400,
4,7500,ar_an94,suppressed,500,
5,10500,ar_an94,damage,600,
6,13800,ar_an94,dualoptic,700,
7,17400,ar_an94,stalker,800,
8,21100,ar_an94,holo,900,
9,24900,ar_an94,steadyaim,1000,
10,28800,ar_an94,fmj,1100,
11,32800,ar_an94,ir,1200,
12,36900,ar_an94,fastreload,1300,
13,41100,ar_an94,extclip,1400,
14,45400,ar_an94,reddot,1500,
15,49800,ar_an94,extbarrel,1600,
16,54300,ar_an94,rf,1700,
0,300,ar_m14,reflex,100,
1,1200,ar_m14,quickdraw,200,
2,2700,ar_m14,grip,300,
3,4800,ar_m14,acog,400,
4,7500,ar_m14,suppressed,500,
5,10500,ar_m14,damage,600,
6,13800,ar_m14,dualoptic,700,
7,17400,ar_m14,stalker,800,
8,21100,ar_m14,holo,900,
9,24900,ar_m14,steadyaim,1000,
10,28800,ar_m14,fmj,1100,
11,32800,ar_m14,ir,1200,
12,36900,ar_m14,fastreload,1300,
13,41100,ar_m14,extclip,1400,
14,45400,ar_m14,reddot,1500,
15,49800,ar_m14,extbarrel,1600,
16,54300,ar_m14,rf,1700,
0,300,lmg_cqb,reflex,100,
1,1200,lmg_cqb,quickdraw,200,
2,2700,lmg_cqb,grip,300,
3,4800,lmg_cqb,acog,400,
4,7500,lmg_cqb,suppressed,500,
5,10500,lmg_cqb,stalker,600,
6,13800,lmg_cqb,dualoptic,700,
7,17400,lmg_cqb,steadyaim,800,
8,21100,lmg_cqb,holo,900,
9,24900,lmg_cqb,fmj,1000,
10,28800,lmg_cqb,fastreload,1100,
11,32800,lmg_cqb,ir,1200,
12,36900,lmg_cqb,extclip,1300,
13,41100,lmg_cqb,rf,1400,
14,45400,lmg_cqb,reddot,1500,
0,300,lmg_heavy,reflex,100,
1,1200,lmg_heavy,quickdraw,200,
2,2700,lmg_heavy,grip,300,
3,4800,lmg_heavy,acog,400,
4,7500,lmg_heavy,suppressed,500,
5,10500,lmg_heavy,stalker,600,
6,13800,lmg_heavy,dualoptic,700,
7,17400,lmg_heavy,steadyaim,800,
8,21100,lmg_heavy,holo,900,
9,24900,lmg_heavy,fmj,1000,
10,28800,lmg_heavy,fastreload,1100,
11,32800,lmg_heavy,ir,1200,
12,36900,lmg_heavy,extclip,1300,
13,41100,lmg_heavy,rf,1400,
14,45400,lmg_heavy,reddot,1500,
0,300,lmg_light,reflex,100,
1,1200,lmg_light,quickdraw,200,
2,2700,lmg_light,grip,300,
3,4800,lmg_light,acog,400,
4,7500,lmg_light,suppressed,500,
5,10500,lmg_light,stalker,600,
6,13800,lmg_light,dualoptic,700,
7,17400,lmg_light,steadyaim,800,
8,21100,lmg_light,holo,900,
9,24900,lmg_light,fmj,1000,
10,28800,lmg_light,fastreload,1100,
11,32800,lmg_light,ir,1200,
12,36900,lmg_light,extclip,1300,
13,41100,lmg_light,rf,1400,
14,45400,lmg_light,reddot,1500,
0,300,lmg_slowfire,reflex,100,
1,1200,lmg_slowfire,quickdraw,200,
2,2700,lmg_slowfire,grip,300,
3,4800,lmg_slowfire,acog,400,
4,7500,lmg_slowfire,suppressed,500,
5,10500,lmg_slowfire,stalker,600,
6,13800,lmg_slowfire,dualoptic,700,
7,17400,lmg_slowfire,steadyaim,800,
8,21100,lmg_slowfire,holo,900,
9,24900,lmg_slowfire,fmj,1000,
10,28800,lmg_slowfire,fastreload,1100,
11,32800,lmg_slowfire,ir,1200,
12,36900,lmg_slowfire,extclip,1300,
13,41100,lmg_slowfire,rf,1400,
14,45400,lmg_slowfire,reddot,1500,
0,300,lmg_infinite,reflex,100,
1,1200,lmg_infinite,quickdraw,200,
2,2700,lmg_infinite,grip,300,
3,4800,lmg_infinite,acog,400,
4,7500,lmg_infinite,suppressed,500,
5,10500,lmg_infinite,stalker,600,
6,13800,lmg_infinite,holo,700,
7,17400,lmg_infinite,steadyaim,800,
8,21100,lmg_infinite,ir,900,
9,24900,lmg_infinite,fmj,1000,
10,32800,lmg_infinite,rf,1100,
11,41100,lmg_infinite,reddot,1200,
0,300,lmg_rpk,reflex,100,
1,1200,lmg_rpk,quickdraw,200,
2,2700,lmg_rpk,grip,300,
3,4800,lmg_rpk,acog,400,
4,7500,lmg_rpk,suppressed,500,
5,10500,lmg_rpk,stalker,600,
6,13800,lmg_rpk,dualoptic,700,
7,17400,lmg_rpk,steadyaim,800,
8,21100,lmg_rpk,holo,900,
9,24900,lmg_rpk,fmj,1000,
10,28800,lmg_rpk,fastreload,1100,
11,32800,lmg_rpk,ir,1200,
12,36900,lmg_rpk,extclip,1300,
13,41100,lmg_rpk,rf,1400,
14,45400,lmg_rpk,reddot,1500,
0,300,sniper_chargeshot,acog,100,
1,1200,sniper_chargeshot,suppressed,200,
2,2700,sniper_chargeshot,swayreduc,300,
3,4800,sniper_chargeshot,dualoptic,400,
4,7500,sniper_chargeshot,fastreload,500,
5,10500,sniper_chargeshot,fmj,600,
6,13800,sniper_chargeshot,ir,700,
7,17400,sniper_chargeshot,extclip,800,
8,21100,sniper_chargeshot,reddot,900,
9,24900,sniper_chargeshot,rf,1000,
10,28800,sniper_chargeshot,stalker,1100,
0,300,sniper_fastbolt,acog,100,
1,1200,sniper_fastbolt,suppressed,200,
2,2700,sniper_fastbolt,swayreduc,300,
3,4800,sniper_fastbolt,dualoptic,400,
4,7500,sniper_fastbolt,fastreload,500,
5,10500,sniper_fastbolt,fmj,600,
6,13800,sniper_fastbolt,ir,700,
7,17400,sniper_fastbolt,extclip,800,
8,21100,sniper_fastbolt,reddot,900,
9,24900,sniper_fastbolt,rf,1000,
10,28800,sniper_fastbolt,stalker,1100,
0,300,sniper_fastsemi,acog,100,
1,1200,sniper_fastsemi,suppressed,200,
2,2700,sniper_fastsemi,swayreduc,300,
3,4800,sniper_fastsemi,dualoptic,400,
4,7500,sniper_fastsemi,fastreload,500,
5,10500,sniper_fastsemi,fmj,600,
6,13800,sniper_fastsemi,ir,700,
7,17400,sniper_fastsemi,extclip,800,
8,21100,sniper_fastsemi,reddot,900,
9,24900,sniper_fastsemi,rf,1000,
10,28800,sniper_fastsemi,stalker,1100,
0,300,sniper_powerbolt,acog,100,
1,1200,sniper_powerbolt,suppressed,200,
2,2700,sniper_powerbolt,swayreduc,300,
3,4800,sniper_powerbolt,dualoptic,400,
4,7500,sniper_powerbolt,fastreload,500,
5,10500,sniper_powerbolt,fmj,600,
6,13800,sniper_powerbolt,ir,700,
7,17400,sniper_powerbolt,extclip,800,
8,21100,sniper_powerbolt,reddot,900,
9,24900,sniper_powerbolt,rf,1000,
10,28800,sniper_powerbolt,stalker,1100,
0,300,sniper_quickscope,acog,100,
1,1200,sniper_quickscope,suppressed,200,
2,2700,sniper_quickscope,swayreduc,300,
3,4800,sniper_quickscope,dualoptic,400,
4,7500,sniper_quickscope,fastreload,500,
5,10500,sniper_quickscope,fmj,600,
6,13800,sniper_quickscope,ir,700,
7,17400,sniper_quickscope,extclip,800,
8,21100,sniper_quickscope,reddot,900,
9,24900,sniper_quickscope,rf,1000,
10,28800,sniper_quickscope,stalker,1100,
0,300,sniper_double,reflex,100,
1,1200,sniper_double,suppressed,200,
2,2700,sniper_double,acog,300,
3,4800,sniper_double,dualoptic,400,
4,7500,sniper_double,fastreload,500,
5,10500,sniper_double,fmj,600,
6,13800,sniper_double,holo,700,
7,17400,sniper_double,extclip,800,
8,21100,sniper_double,ir,900,
9,24900,sniper_double,rf,1000,
10,28800,sniper_double,stalker,1100,
11,32800,sniper_double,reddot,1200,
0,300,sniper_xpr50,acog,100,
1,1200,sniper_xpr50,suppressed,200,
2,2700,sniper_xpr50,swayreduc,300,
3,4800,sniper_xpr50,dualoptic,400,
4,7500,sniper_xpr50,fastreload,500,
5,10500,sniper_xpr50,fmj,600,
6,13800,sniper_xpr50,ir,700,
7,17400,sniper_xpr50,extclip,800,
8,21100,sniper_xpr50,reddot,900,
9,24900,sniper_xpr50,rf,1000,
10,28800,sniper_xpr50,stalker,1100,
0,300,sniper_mosin,acog,100,
1,1200,sniper_mosin,suppressed,200,
2,2700,sniper_mosin,swayreduc,300,
3,4800,sniper_mosin,dualoptic,400,
4,7500,sniper_mosin,fastreload,500,
5,10500,sniper_mosin,fmj,600,
6,13800,sniper_mosin,ir,700,
7,17400,sniper_mosin,extclip,800,
8,21100,sniper_mosin,reddot,900,
9,24900,sniper_mosin,rf,1000,
10,28800,sniper_mosin,stalker,1100,
0,300,shotgun_fullauto,reflex,100,
1,1200,shotgun_fullauto,quickdraw,200,
2,2700,shotgun_fullauto,suppressed,300,
3,4800,shotgun_fullauto,holo,400,
4,7500,shotgun_fullauto,stalker,500,
5,10500,shotgun_fullauto,steadyaim,600,
6,13800,shotgun_fullauto,reddot,700,
7,17400,shotgun_fullauto,fastreload,800,
8,21100,shotgun_fullauto,extclip,900,
9,24900,shotgun_fullauto,extbarrel,1000,
10,28800,shotgun_fullauto,rf,1100,
0,300,shotgun_precision,reflex,100,
1,1200,shotgun_precision,quickdraw,200,
2,2700,shotgun_precision,suppressed,300,
3,4800,shotgun_precision,holo,400,
